#FriendlyName,FileName,URL,MD5,isZipped
NI-LabVIEW,ni-frc-2020-base-suite_19.0.0.49152-0+f0_offline.iso,https://download.ni.com/support/nipkg/products/ni-f/ni-frc-2020-base-suite/19.0/offline/ni-frc-2020-base-suite_19.0.0.49152-0+f0_offline.iso,2bed0a8236a5dd452c96a019450a9ecf,false
NI-Update,ni-frc-2020-game-tools_19.0.0_offline.iso,https://download.ni.com/support/nipkg/products/ni-f/ni-frc-2020-game-tools/19.0/offline/ni-frc-2020-game-tools_19.0.0_offline.iso,0fd5df9e21e69e2e5a0e1e5f7d60f60a,false
WPILibInstaller_Windows64,WPILibInstaller_Windows64-2020.3.2.zip,https://github.com/wpilibsuite/allwpilib/releases/download/v2020.3.2/WPILibInstaller_Windows64-2020.3.2.zip,d7001f51d247046310cf9dd56d133a95,true
WPILibInstaller_Windows32,WPILibInstaller_Windows32-2020.3.2.zip,https://github.com/wpilibsuite/allwpilib/releases/download/v2020.3.2/WPILibInstaller_Windows32-2020.3.2.zip,3984ead5799eec22f8a7edcdd904a3e7,true
Password,2020Password.txt,https://raw.githubusercontent.com/JamieSinn/CSA-USB-Tool/master/2020Password.txt,A38D7CB475678BE3910895F56F9D4FD0,false
CTRE-Phoenix-Win,CTRE.Phoenix.Framework.v5.18.2.1.zip,https://github.com/CrossTheRoadElec/Phoenix-Releases/releases/download/v5.18.2.1/CTRE.Phoenix.Framework.v5.18.2.1.zip,056d0ba2a3baa1f65e85cf06e492b190,true
RadioConfigTool,FRC_Radio_Configuration_20_0_0.zip,https://firstfrc.blob.core.windows.net/frc2020/Radio/FRC_Radio_Configuration_20_0_0.zip,A623FBC18AC56EDC45269BEC5F04444F,true
RadioConfigTool Israel,FRC_Radio_Configuration_20_0_0_IL.zip,https://firstfrc.blob.core.windows.net/frc2020/Radio/FRC_Radio_Configuration_20_0_0_IL.zip,45619E18BCACF0C4F5C7B4B52D67DD39,true
2020Manual,2020FRCGameSeasonManual.pdf,https://firstfrc.blob.core.windows.net/frc2020/Manual/2020FRCGameSeasonManual.pdf,00000000000000000,false
NavX,navx-mxp.zip,https://www.kauailabs.com/public_files/navx-mxp/navx-mxp.zip,4a2839e34feafb8fc89d22fbfc701ba0,true
VSCode-1.41.1,VSCode-win32.zip,https://vscode-update.azurewebsites.net/1.41.1/win32-archive/stable,a704725b36e345f24b2b1a25d539669a,true
VSCode-1.41.1-64,VSCode-win64.zip,https://vscode-update.azurewebsites.net/1.41.1/win32-x64-archive/stable,49d1738352b9afbc276556fd97a61388,true
VSCode-Cpp,VSCode-Cpp.vsix,https://github.com/Microsoft/vscode-cpptools/releases/download/0.26.2/cpptools-win32.vsix,56ca3815f455cc0db5d8ef3d2590bde4,true
REV Robotics All FRC Software,REV-Robotics-Software-All-FRC-CSATool-2020-1.zip,http://www.revrobotics.com/content/sw/REV-Robotics-Software-All-FRC-CSATool-2020-1.zip,15d19153cb42bf4b5feaf50f53d750cb,true
DotNet4.6.2,NDP462-KB3151800-x86-x64-AllOS-ENU.exe,https://download.microsoft.com/download/F/9/4/F942F07D-F26F-4F30-B4E3-EBD54FABA377/NDP462-KB3151800-x86-x64-AllOS-ENU.exe,9a5d647ee710af2b1aede329c40bbe1a,false
Python 3.7.2,python-3.7.2.exe,https://www.python.org/ftp/python/3.7.2/python-3.7.2.exe,38156b62c0cbcb03bfddeb86e66c3a0f,false
Limelight Finder Tool,LimelightFinderSetup1_0_1.exe,http://downloads.limelightvision.io/software/LimelightFinderSetup1_0_1.exe,7e3ec1ea8d1c6c78f79839a019d7c43d,false
7-Zip,7z1900.exe,https://www.7-zip.org/a/7z1900.exe,fabe184f6721e640474e1497c69ffc98,false
FRC-Docs,docs-wpilib-org-en-latest.pdf,https://docs.wpilib.org/_/downloads/en/latest/pdf/,00000000000000000,false
